,ind,Afghanistan,Albania,Andorra,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Belgium,Bosnia_and_Herzegovina,Brazil,Brunei_Darussalam,Bulgaria,Burkina_Faso,Cambodia,Canada,Cases_on_an_international_conveyance_Japan,Chile,China,Colombia,Costa_Rica,Cote_dIvoire,Croatia,Cuba,Cyprus,Czech_Republic,Denmark,Dominican_Republic,Ecuador,Egypt,Estonia,Faroe_Islands,Finland,France,Germany,Ghana,Greece,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Latvia,Lebanon,Lithuania,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Moldova,Morocco,Netherlands,New_Zealand,North_Macedonia,Norway,Oman,Pakistan,Palestine,Panama,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Romania,Russia,San_Marino,Saudi_Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South_Africa,South_Korea,Spain,Sri_Lanka,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Turkey,Ukraine,United_Arab_Emirates,United_Kingdom,United_States_of_America,Uruguay,Uzbekistan,Venezuela,Vietnam
0,100_cases,2020-03-29,2020-03-25,2020-03-23,2020-03-23,2020-03-20,2020-03-19,2020-03-11,2020-03-09,2020-03-27,2020-03-10,2020-03-07,2020-03-23,2020-03-15,2020-03-25,2020-03-20,2020-03-26,2020-03-28,2020-03-12,2020-02-11,2020-03-17,2020-01-19,2020-03-19,2020-03-21,2020-03-28,2020-03-20,2020-03-29,2020-03-24,2020-03-13,2020-03-10,2020-03-22,2020-03-18,2020-03-16,2020-03-15,2020-03-23,2020-03-13,2020-03-02,2020-03-01,2020-03-27,2020-03-13,2020-03-29,2020-03-21,2020-03-13,2020-03-17,2020-03-16,2020-02-27,2020-03-16,2020-03-15,2020-03-14,2020-02-24,2020-02-22,2020-03-24,2020-03-27,2020-03-15,2020-03-21,2020-03-17,2020-03-22,2020-03-18,2020-03-10,2020-03-24,2020-03-29,2020-03-19,2020-03-24,2020-03-23,2020-03-07,2020-03-23,2020-03-23,2020-03-07,2020-03-27,2020-03-17,2020-03-30,2020-03-19,2020-03-18,2020-03-15,2020-03-15,2020-03-14,2020-03-30,2020-03-12,2020-03-15,2020-03-18,2020-03-17,2020-03-16,2020-03-27,2020-03-20,2020-03-01,2020-03-19,2020-03-14,2020-03-19,2020-02-21,2020-03-03,2020-03-25,2020-03-07,2020-03-07,2020-03-19,2020-03-16,2020-03-25,2020-03-19,2020-03-26,2020-03-18,2020-03-06,2020-03-03,2020-03-21,2020-03-28,2020-03-26,2020-03-23
1,10_deaths,2020-03-29,2020-03-29,2020-03-29,2020-03-23,2020-03-27,2020-03-29,2020-03-26,2020-03-23,2020-03-29,2020-03-29,2020-03-19,2020-03-29,2020-03-21,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-21,2020-03-29,2020-03-29,2020-01-22,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-22,2020-03-28,2020-03-23,2020-03-24,2020-03-29,2020-03-29,2020-03-30,2020-03-09,2020-03-16,2020-03-29,2020-03-22,2020-03-29,2020-03-28,2020-03-29,2020-03-26,2020-03-20,2020-02-25,2020-03-18,2020-03-27,2020-03-29,2020-02-26,2020-03-11,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-28,2020-03-24,2020-03-29,2020-03-29,2020-03-28,2020-03-29,2020-03-28,2020-03-15,2020-03-29,2020-03-29,2020-03-26,2020-03-29,2020-03-29,2020-03-29,2020-03-28,2020-03-28,2020-03-16,2020-03-26,2020-03-22,2020-03-29,2020-03-29,2020-03-25,2020-03-29,2020-03-18,2020-03-29,2020-03-29,2020-03-30,2020-03-29,2020-03-29,2020-03-30,2020-03-29,2020-02-26,2020-03-10,2020-03-29,2020-03-21,2020-03-15,2020-03-29,2020-03-29,2020-03-29,2020-03-22,2020-03-29,2020-03-29,2020-03-15,2020-03-05,2020-03-29,2020-03-29,2020-03-29,2020-03-29
