Date,cases_daily,cases_total,prevalence,incidence_daily,deaths_daily,deaths_total,mortality,cases_weekly,deaths_weekly,incidence_weekly
2020-02-04,3243,20615,2.74925995439885e-06,4.324933316573112e-07,65,427,0.02071307300509338,0,0,0.0
2020-02-05,3907,24522,3.2703057289240163e-06,5.210457745251665e-07,66,493,0.020104396052524263,0,0,0.0
2020-02-06,3751,28273,3.7705470138597472e-06,5.002412849357306e-07,72,565,0.019983730060481732,0,0,0.0
2020-02-07,3218,31491,4.199706292698238e-06,4.2915927883849135e-07,73,638,0.02025975675589851,0,0,0.0
2020-02-08,3442,34933,4.658738684793356e-06,4.5903239209511724e-07,86,724,0.02072538860103627,25107,511,3.348322564884401e-06
2020-02-09,2619,37552,5.008014058092923e-06,3.492753732995677e-07,89,813,0.021649978696207925,0,0,0.0
2020-02-10,2988,40540,5.406500050998272e-06,3.984859929053487e-07,97,910,0.022446965959546126,0,0,0.0
2020-02-11,2565,43105,5.748573870209189e-06,3.4207381921091684e-07,108,1018,0.023616749797007307,0,0,0.0
2020-02-12,2072,45177,6.024900167832978e-06,2.763262976237893e-07,97,1115,0.024680700356376033,0,0,0.0
2020-02-13,15151,60328,8.045469538150562e-06,2.020569370317583e-06,255,1370,0.02270918976263095,0,0,0.0
2020-02-14,4215,64543,8.607590843403589e-06,5.62121305253027e-07,13,1383,0.02142757541483972,0,0,0.0
2020-02-15,2560,67103,8.948997852050742e-06,3.4140700864715285e-07,144,1527,0.022756061576978674,35612,889,4.749291559352503e-06
2020-02-16,2162,69265,9.237326739822283e-06,2.883288877715408e-07,142,1669,0.024095863711831374,0,0,0.0
2020-02-17,2067,71332,9.512986226882307e-06,2.756594870600254e-07,106,1775,0.024883642684909998,0,0,0.0
2020-02-18,1995,73327,9.779043641824132e-06,2.6605741494182417e-07,98,1873,0.025543115087212076,0,0,0.0
2020-02-19,1864,75191,1.002763061999534e-05,2.4858697817120815e-07,139,2012,0.02675852163157825,0,0,0.0
2020-02-20,532,75723,1.0098579263979827e-05,7.094864398448645e-08,116,2128,0.028102425947202303,0,0,0.0
2020-02-21,996,76719,1.0231407928281609e-05,1.3282866430178291e-07,119,2247,0.029288702928870293,0,0,0.0
2020-02-22,1085,77804,1.037610582061839e-05,1.4469789233678157e-07,112,2359,0.030319777903449693,13261,976,1.7685149772148024e-06
2020-02-23,1008,78812,1.0510534830273208e-05,1.3442900965481642e-07,104,2463,0.03125158605288535,0,0,0.0
2020-02-24,527,79339,1.058081666369393e-05,7.028183342072248e-08,156,2619,0.03301024716721915,0,0,0.0
2020-02-25,793,80132,1.0686572819106895e-05,1.057561554129657e-07,79,2698,0.03366944541506514,0,0,0.0
2020-02-26,863,80995,1.0801664322412556e-05,1.150915033056613e-07,64,2762,0.03410087042410025,0,0,0.0
2020-02-27,1106,82101,1.0949162819117146e-05,1.4749849670459026e-07,38,2800,0.03410433490456876,0,0,0.0
2020-02-28,1264,83365,1.1117732529636679e-05,1.6856971051953172e-07,57,2857,0.03427097702872908,0,0,0.0
2020-02-29,1838,85203,1.1362852092876314e-05,2.4511956323963554e-07,64,2921,0.03428283041676936,8484,674,1.131444164594705e-06
2020-03-01,1821,87024,1.1605704500199151e-05,2.42852407322838e-07,58,2979,0.0342319360176503,0,0,0.0
2020-03-02,2044,89068,1.1878296658665863e-05,2.725921584667111e-07,67,3046,0.03419858984146944,0,0,0.0
2020-03-03,1596,90664,1.2091142590619323e-05,2.1284593195345934e-07,72,3118,0.03439071737404041,0,0,0.0
